employee_id,name,email,department,designation,salary,date_of_joining
46,Jennifer Miller,tracywest@harrison.info,IT,DevOps Engineer,104938.47,2023-09-11
47,Ryan Carrillo,xknight@gmail.com,Finance,Accountant,105178.88,2022-01-04
48,Jack Madden,michaeladams@gmail.com,Operations,Procurement Specialist,102399.99,2017-09-07
49,Terry Jackson,reesekayla@phillips.com,IT,Data Scientist,56892.35,2017-02-07
50,Joshua Reynolds,timothy85@hotmail.com,IT,Data Scientist,103249.9,2023-11-05
51,Shane Sanders,normanbenjamin@underwood.net,Marketing,Marketing Manager,78479.95,2018-04-03
52,Jill Galvan,baileyjones@hotmail.com,Marketing,Content Strategist,59802.94,2021-08-12
53,Rebecca Dunn,daniel81@callahan.info,Marketing,Marketing Manager,115241.95,2022-04-16
54,Emily Crawford MD,powersmichele@hotmail.com,HR,Recruiter,73656.4,2022-08-02
55,Tracy Marquez,williambutler@allen.org,IT,Data Scientist,102947.6,2022-12-31
56,Timothy Bonilla,sarah58@young.com,Sales,Business Development,66169.57,2020-01-30
57,Richard Garcia,carlsonscott@rodriguez.net,Sales,Business Development,93993.35,2015-03-19
58,Jenna Dixon,dyerwalter@clayton.com,IT,DevOps Engineer,96673.66,2020-03-10
59,Jennifer Greer,tracey89@yahoo.com,Operations,Logistics Coordinator,69412.08,2023-12-24
60,Megan Davis,chendricks@gmail.com,Finance,Accountant,103185.72,2021-09-19
61,Joseph Cole,powellvictoria@hotmail.com,Operations,Logistics Coordinator,98053.45,2024-11-22
62,Johnathan Brennan,mcguireryan@flores.com,IT,Data Scientist,89940.93,2019-04-27
63,Mr. Adam Kelley,jacob83@hotmail.com,IT,DevOps Engineer,48418.59,2020-12-23
64,Maria Sandoval,oliverheather@gmail.com,Marketing,Marketing Manager,57835.58,2020-05-28
65,Patricia Shelton,devinelliott@smith-marquez.com,HR,Training Specialist,72309.62,2019-06-18
66,Christopher Morales,jason49@gmail.com,Sales,Business Development,71319.77,2021-01-14
67,Fred Long,barbaracampbell@yahoo.com,Operations,Procurement Specialist,94623.53,2019-04-08
68,Cody Barnes,martha10@gmail.com,Operations,Operations Manager,86674.36,2023-07-28
69,Melinda Davila,davisjohn@gmail.com,Sales,Account Manager,91781.4,2015-05-30
70,Marie Brooks,lisa00@hotmail.com,Finance,Accountant,114270.32,2022-11-28
71,Shannon Andrews,vgoodwin@carter-bell.com,HR,Training Specialist,59393.39,2024-12-02
72,Amanda Henry,barbara52@smith-fox.org,Marketing,Marketing Manager,72934.47,2019-05-16
73,Theresa Bennett,hannajoseph@cruz.info,HR,Recruiter,76956.84,2023-05-09
74,Samantha Park,sonya31@gmail.com,Marketing,Content Strategist,47085.8,2022-07-27
75,Margaret Arias,donald40@nunez-smith.info,Operations,Operations Manager,118010.22,2016-10-04
76,Raven Love,gonzalezsara@graves.com,Sales,Business Development,112810.24,2015-04-14
77,Ashley Adams,harrissavannah@johnson-estrada.net,Operations,Operations Manager,78731.07,2019-06-20
78,Kelly Mccormick,kellykelly@mullins-lewis.com,HR,Training Specialist,117393.82,2017-03-01
79,Amy George,angela78@wilson.biz,Sales,Business Development,77005.64,2017-03-09
80,Sara Singh,susanwilcox@trevino.info,Marketing,Marketing Manager,60036.03,2022-08-31
81,Julian Watson,gibsonkelsey@gmail.com,HR,HR Manager,51525.6,2023-12-17
82,Joseph Norton,iparks@gmail.com,Finance,Accountant,112229.45,2021-09-09
83,Elizabeth Blake,donna51@gmail.com,Sales,Account Manager,95308.73,2016-07-01
84,Benjamin Atkins,tina74@yahoo.com,Operations,Logistics Coordinator,58251.84,2015-03-19
85,Jordan Dunn,jonathankey@thompson.com,Marketing,Content Strategist,99651.72,2025-02-01
86,Ashley Edwards,stephenwilliams@howard.com,HR,Training Specialist,57843.74,2015-08-22
87,Linda Brennan,mendozajason@ball-carson.biz,Sales,Sales Executive,81099.25,2018-03-08
88,Brandon Patel,carol33@cook-compton.com,Finance,Financial Analyst,115807.13,2018-09-16
89,Wesley Davis,sabrina09@yahoo.com,Finance,Financial Analyst,102298.4,2022-11-06
90,Jessica Fields,calderonbrittany@clark-jimenez.biz,IT,DevOps Engineer,105705.62,2015-10-28
91,Vanessa Powell,kmontes@rowe.com,HR,Recruiter,81289.24,2022-04-28
92,Alicia Stark,zcervantes@myers-hodges.com,Operations,Operations Manager,103753.77,2019-05-04
93,Bruce Williams,patricia44@yahoo.com,Marketing,Marketing Manager,83608.08,2024-07-13
94,Janice Salazar,jacobholmes@johnson-little.com,HR,Recruiter,119795.93,2020-03-19
95,James Shaw,lowekyle@burns.org,Marketing,Content Strategist,94246.11,2021-02-26
96,Sean Adams,virginiamedina@gmail.com,Sales,Account Manager,117090.47,2019-03-19
97,Jason Bond MD,shannon94@miller.com,Finance,Financial Analyst,107165.63,2019-10-15
98,Gabrielle Russell,castanedacheyenne@lopez.org,Finance,Auditor,116244.71,2018-01-22
99,Laura Kelley,jonesmitchell@liu.com,IT,DevOps Engineer,88952.51,2017-05-11
100,Diane Thompson,kellyharris@yahoo.com,Marketing,SEO Specialist,90947.87,2018-09-21
101,Vanessa Tucker,kjackson@hotmail.com,Sales,Sales Executive,43194.63,2025-02-17
102,Paul Murray,sean09@yahoo.com,Operations,Operations Manager,101387.35,2016-10-24
103,Keith Keller,sarahhampton@gmail.com,Finance,Accountant,52874.0,2021-09-05
104,Amanda Daniel,williamanderson@yahoo.com,IT,DevOps Engineer,113023.94,2018-05-16
105,Elizabeth Jones,mcclainjustin@gmail.com,HR,Training Specialist,105701.96,2023-02-09
106,Mr. Hunter Harrington,andrewwright@gmail.com,Finance,Financial Analyst,115177.38,2017-12-07
107,Nathaniel Knapp,heather10@blackwell.com,Operations,Procurement Specialist,50581.89,2023-02-16
108,Tara Harmon,vasquezjennifer@gonzalez.org,Finance,Accountant,75248.39,2022-12-26
109,Michelle Lee,longwilliam@yahoo.com,Operations,Operations Manager,49093.61,2018-10-31
110,Holly King,bakerlisa@yahoo.com,Finance,Financial Analyst,48507.64,2019-05-14
111,Jamie Smith,jacqueline77@hotmail.com,HR,HR Manager,48204.28,2016-04-27
112,Claire Hartman,roger50@gmail.com,Sales,Business Development,94795.27,2023-10-26
113,Amber Shepherd,havery@smith-stone.com,Finance,Auditor,109240.48,2021-08-02
114,Lisa Smith,harrisondebra@clark.com,Operations,Logistics Coordinator,72699.67,2021-07-05
115,Susan Green,rachelgates@hotmail.com,Sales,Account Manager,119980.78,2022-10-25
116,Nicole Hobbs,diazcaitlin@yahoo.com,Finance,Accountant,92053.19,2019-04-19
117,Gregory Johnson DDS,joshuamitchell@gmail.com,HR,Recruiter,63534.51,2023-07-06
118,Tracy Curtis,munozchristopher@yahoo.com,Sales,Business Development,63525.47,2024-04-26
119,Sean Berry,cassandra19@guzman.info,HR,Training Specialist,112757.57,2021-09-02
120,Tommy Wong,fthompson@carlson.com,Marketing,SEO Specialist,107349.55,2019-06-25
121,Larry Moran,suzanne56@anderson-ortega.com,Sales,Business Development,78253.56,2017-06-02
122,Timothy Pierce,david50@avery.com,Sales,Sales Executive,81695.22,2020-05-10
123,Cody Phillips,vanessa32@hotmail.com,IT,Software Engineer,75997.85,2017-02-05
124,Nicholas Harris,stanley60@gmail.com,Marketing,Marketing Manager,69479.03,2022-09-26
125,Lisa Moreno,pwilson@quinn.info,HR,Training Specialist,107782.21,2015-03-10
126,Lori Ramirez,brettsmith@yahoo.com,Finance,Accountant,61248.04,2015-03-08
127,Jennifer Dodson,xroach@hotmail.com,IT,Software Engineer,118573.24,2023-11-21
128,Heather Guzman,gjohnson@gmail.com,Finance,Accountant,118144.67,2020-09-06
129,Michael Sanchez,henry39@yahoo.com,IT,DevOps Engineer,97135.67,2017-06-08
130,Mitchell Morales,vmunoz@hotmail.com,Sales,Account Manager,117513.02,2020-06-25
131,Jeffrey Hampton,martinezmelissa@powell-cox.com,Operations,Procurement Specialist,96415.82,2015-04-04
132,Louis Krause,ernest19@cruz.com,HR,Training Specialist,90598.65,2016-10-01
133,Rhonda Williams,bsmith@yang-cook.com,Finance,Auditor,100710.66,2020-07-08
134,Kerry Davis MD,hoffmanjoshua@robles-thornton.com,Sales,Sales Executive,46138.01,2018-09-11
135,Russell Wiggins,rivaskimberly@gmail.com,Finance,Accountant,51440.22,2024-02-24
136,Jacqueline Peterson,sullivanlisa@hotmail.com,Sales,Account Manager,87915.47,2020-12-09
137,Candice Jordan,raymondkirby@sims.com,Marketing,Marketing Manager,116088.89,2016-04-13
138,Joseph Gonzalez,rbyrd@morris.com,Sales,Sales Executive,47529.41,2023-10-09
139,Sheena Powell,stevensrebecca@gmail.com,IT,DevOps Engineer,81369.27,2018-12-17
140,Stacey Garcia,campbellerin@gmail.com,Sales,Business Development,101511.95,2024-08-05
141,Amanda Pratt,birdmark@carr-neal.com,IT,Data Scientist,118674.42,2021-12-14
142,Mathew Ward,kenneth77@castaneda.com,Sales,Account Manager,40114.31,2015-11-12
143,Dr. Lisa Pena,vincent54@ramirez.net,Marketing,Content Strategist,93800.91,2018-03-21
144,Jacob Walker,arnoldjason@huff.com,Sales,Account Manager,41460.32,2016-07-29
145,James Hansen,mvasquez@yahoo.com,Sales,Sales Executive,67907.37,2024-08-21
146,Terry Gutierrez,andradeerica@hotmail.com,Operations,Procurement Specialist,103367.22,2020-04-24
147,Robert Smith,utorres@gmail.com,Operations,Procurement Specialist,72821.87,2022-01-20
148,Connie Richardson,matthewvelez@hotmail.com,Sales,Sales Executive,41210.98,2019-12-26
149,Dillon Smith,terry32@gmail.com,IT,DevOps Engineer,64522.08,2021-10-24
150,Jessica Berry,michaelsmith@barnes-powers.info,Operations,Procurement Specialist,60326.61,2017-11-27
151,Jeffrey Martinez,sandra81@anderson-wall.com,Finance,Accountant,100411.7,2020-07-09
152,Megan Meyer,helenramos@richardson.biz,Operations,Procurement Specialist,99846.72,2017-06-02
153,Teresa Moore,david79@gmail.com,Operations,Operations Manager,69846.72,2018-05-31
154,Randall Webster,xlee@snyder.net,Sales,Business Development,67706.9,2023-06-10
155,Samantha Coleman,erica14@gmail.com,Marketing,SEO Specialist,119264.49,2015-10-30
156,Shaun Johnson,shawn32@harmon-aguirre.org,Operations,Logistics Coordinator,83003.52,2017-08-12
157,Mr. Travis Webb,feliciasavage@lowe.com,Operations,Operations Manager,58255.47,2016-10-08
158,Jordan Drake,bushsamantha@bullock-smith.com,HR,Training Specialist,86412.89,2021-12-26
159,John Torres,kimberly81@hotmail.com,HR,HR Manager,52058.26,2018-05-21
160,Isaac Orr,brianlyons@yahoo.com,IT,Data Scientist,63961.77,2022-04-20
161,Jessica Morrison,shanelowe@pineda.com,HR,Training Specialist,110561.18,2024-06-14
162,Stephanie Parker,pstewart@hotmail.com,Operations,Logistics Coordinator,95400.61,2019-05-28
163,Kristen Crawford,elizabeth62@gmail.com,Marketing,Content Strategist,68500.29,2016-11-15
164,Fernando Green,jocelyn29@yahoo.com,HR,HR Manager,84153.03,2021-06-05
165,Margaret Jimenez,markbowen@smith.info,HR,Training Specialist,59664.96,2015-07-06
166,Anthony Perez,sconley@noble.net,Sales,Sales Executive,52332.84,2021-03-15
167,Kathryn Haney,swashington@cohen-gray.com,HR,Recruiter,110636.86,2022-07-16
168,Brett Martinez,anthonyjason@hawkins.com,HR,Training Specialist,115907.76,2021-12-21
169,Jason Welch,cmorse@gmail.com,Operations,Operations Manager,42350.63,2023-07-27
170,Arthur Stewart,joshuathompson@yahoo.com,Operations,Procurement Specialist,116633.68,2023-01-02
171,Jennifer Watts,allisonfrederick@phillips.net,Sales,Business Development,43617.43,2024-06-15
172,Kelly Lee,gloriareynolds@hotmail.com,Operations,Operations Manager,43255.62,2020-01-24
173,Amy Watson,billy44@castillo.org,Finance,Accountant,81589.03,2017-11-15
174,Olivia Hatfield,jessesandoval@hotmail.com,IT,DevOps Engineer,49853.98,2017-08-01
175,Samuel Ross,patrick62@castillo.com,IT,DevOps Engineer,50902.56,2024-08-03
176,Michael Thomas,jason73@reid-page.com,Finance,Financial Analyst,56108.67,2015-11-12
177,Henry Brooks,michael79@gmail.com,HR,HR Manager,97556.37,2019-07-21
178,Scott Mason MD,patricia47@werner.com,Operations,Logistics Coordinator,83751.49,2020-10-08
179,Tammy Garcia,austin61@hotmail.com,Operations,Procurement Specialist,76278.08,2023-09-05
180,Keith Cooper,kelli68@collins.com,IT,Software Engineer,49173.94,2023-10-09
181,Sherri Yu,vmitchell@hotmail.com,Sales,Account Manager,65869.43,2024-01-04
182,Jamie Lynch,brian30@erickson.com,Operations,Operations Manager,58240.78,2021-03-23
183,Michael Simmons,steeledakota@gmail.com,IT,DevOps Engineer,111008.24,2017-05-27
184,Natasha Mckee,olopez@hotmail.com,Marketing,Content Strategist,64761.26,2020-01-15
185,Danny Newton,iclark@yahoo.com,Operations,Logistics Coordinator,111765.24,2024-12-10
186,Andrew Moon,bmiles@yahoo.com,IT,Software Engineer,67347.22,2024-08-14
187,Amy Fitzgerald,spope@clay-sims.biz,HR,Recruiter,74309.42,2016-11-15
188,Paul Lewis,felicia04@smith-cuevas.com,Operations,Procurement Specialist,108347.61,2017-09-28
189,Jennifer Braun,chaley@rogers.net,Marketing,SEO Specialist,79891.41,2018-05-01
190,Kimberly Nguyen,james79@hotmail.com,Finance,Auditor,115330.08,2015-05-07
191,Albert White,uhouse@munoz.com,HR,Training Specialist,56346.94,2025-01-30
192,Suzanne Hardy,handerson@smith.info,Operations,Operations Manager,83951.08,2016-05-24
193,Michael Benjamin,lewiskevin@berry-rodriguez.com,HR,HR Manager,112764.36,2019-06-15
194,David Miller,kmontes@yahoo.com,Finance,Financial Analyst,98028.32,2017-08-08
195,Kimberly Owens,imcclain@hotmail.com,Operations,Operations Manager,106405.8,2016-06-12
196,Craig Hayes,ybarajas@hotmail.com,Finance,Accountant,44676.53,2024-10-07
197,Madison Cooper,bprice@gmail.com,Operations,Logistics Coordinator,62509.98,2019-06-30
198,Benjamin Lang,youngrachel@yahoo.com,IT,DevOps Engineer,80901.19,2017-10-21
199,April Lane,bentleyashley@gmail.com,HR,Training Specialist,60866.0,2019-08-03
200,Mario Li,lauren07@miller.org,IT,Software Engineer,57318.29,2022-03-15
201,Zachary Parks,mendozajohnny@yahoo.com,Operations,Logistics Coordinator,84135.55,2021-03-27
202,Amber Miller,qjohnson@yahoo.com,Sales,Business Development,100134.87,2016-07-30
203,Anna Lane,vickiealvarez@gmail.com,Marketing,Content Strategist,81626.71,2023-03-29
204,Jonathan Pearson,deannajackson@hotmail.com,HR,Recruiter,48270.02,2025-02-24
205,Gwendolyn Townsend,wchen@gmail.com,Finance,Auditor,116335.04,2019-03-04
206,James Taylor,lambdanielle@yahoo.com,Finance,Financial Analyst,64915.77,2024-12-17
207,Charles Henderson,lsmith@oconnor.info,IT,DevOps Engineer,114166.08,2018-02-14
208,Michael Richards,andrew97@brooks.info,Operations,Procurement Specialist,46109.6,2019-02-03
209,Gregory Reynolds Jr.,ihansen@williams.biz,IT,Data Scientist,81271.99,2022-12-16
210,Joshua Strickland,catherinestevens@flores.org,Marketing,SEO Specialist,41747.65,2021-01-18
211,Erika Thompson,thowell@hotmail.com,Operations,Operations Manager,110313.56,2016-06-18
212,Rachael Riley,kristineholder@brown-berry.org,Marketing,Marketing Manager,70467.22,2022-09-27
213,Victoria Medina,bturner@hotmail.com,Finance,Financial Analyst,40055.46,2018-10-27
214,Amy Young,joseph57@wilson-ayers.org,IT,DevOps Engineer,108694.35,2025-01-15
215,Beth Jones,linda42@smith.com,Marketing,Marketing Manager,90026.56,2016-05-09
216,Timothy Sanchez,hpena@hotmail.com,HR,HR Manager,119604.57,2016-08-02
217,Holly Harrison,daniellecampos@gmail.com,Finance,Accountant,49942.19,2024-08-08
218,Sarah Brewer,pphillips@caldwell-gill.biz,Sales,Business Development,74091.56,2016-05-26
219,Patricia Bray,carolyn22@patrick.com,Finance,Auditor,98739.15,2022-07-24
220,Nicole Carter,kaylee50@reynolds.com,HR,HR Manager,41803.9,2021-02-26
221,Sierra Hodge,dyoung@yahoo.com,Operations,Operations Manager,118989.12,2023-03-28
222,Sarah Drake,emiller@hotmail.com,HR,Training Specialist,102640.64,2020-12-08
223,Kathleen Hernandez,ronaldjacobs@gonzalez.com,Finance,Financial Analyst,75219.47,2022-11-02
224,Rhonda Price,molinavalerie@hotmail.com,HR,HR Manager,57253.91,2018-11-30
225,Robert Brown,blackcarolyn@malone-jenkins.org,Finance,Accountant,42322.6,2020-03-12
226,Andrea King,ricky92@woods.net,Operations,Logistics Coordinator,57368.63,2024-07-03
227,Chad Morales,melvin69@gmail.com,HR,HR Manager,114066.42,2021-01-19
228,Maureen Nichols,samantha09@obrien.com,Operations,Procurement Specialist,113432.27,2017-06-13
229,Cody Tucker,allencynthia@gmail.com,Marketing,SEO Specialist,57662.87,2025-02-22
230,Charles Hall,mary53@rodriguez-calderon.net,Finance,Auditor,109285.63,2022-12-15
231,Stephen Lee,stephensonchristine@liu.com,Operations,Procurement Specialist,110707.63,2020-05-06
232,Courtney Shelton,christianbecker@yahoo.com,Operations,Procurement Specialist,107339.96,2021-11-25
233,Stephanie Rodriguez,randerson@smith-duncan.org,HR,HR Manager,109573.47,2015-04-11
234,Karen Velazquez,sharris@gmail.com,Operations,Procurement Specialist,114557.58,2017-09-10
235,Brandon Johnson,michelledavidson@yahoo.com,Finance,Accountant,82533.53,2023-04-24
236,Marcus Padilla,jamesmorales@yahoo.com,Marketing,Content Strategist,70387.15,2016-08-01
237,Alexander Martin,catherine89@york-rodriguez.info,Operations,Procurement Specialist,96480.36,2018-06-16
238,Kevin Porter,kylewright@drake.com,Marketing,SEO Specialist,47451.03,2020-11-29
239,Derek Cooper,plee@costa-simon.com,Marketing,Content Strategist,43083.0,2021-08-03
240,Laurie Combs,mhicks@gmail.com,Operations,Procurement Specialist,66758.35,2022-09-14
241,Toni Chaney,richardnicole@hotmail.com,Sales,Business Development,63222.91,2015-09-08
242,Timothy Murray,houstonwilliam@wagner.com,Marketing,Marketing Manager,114664.46,2021-11-27
243,Cynthia Jackson,anthony90@hotmail.com,Sales,Business Development,96050.45,2019-03-25
244,William Hernandez,weeksstacey@yahoo.com,Operations,Procurement Specialist,60627.94,2020-02-17
245,Brandon Smith,dawn29@yahoo.com,IT,DevOps Engineer,54095.37,2020-02-08
246,Derek Johnson,heathergeorge@hotmail.com,Operations,Procurement Specialist,52439.95,2020-06-26
247,Brian Williams,gperez@rogers.com,IT,Data Scientist,95583.01,2020-09-28
248,David Taylor,pageduane@wilson-harrison.info,Operations,Procurement Specialist,103412.14,2020-05-05
249,Lindsay Wong,fishereric@hotmail.com,Finance,Accountant,96348.67,2018-12-31
250,Bradley Moore,qnelson@hotmail.com,Finance,Accountant,76396.16,2023-12-29
251,Rachel Rodriguez,connor05@yahoo.com,Operations,Procurement Specialist,104631.61,2024-08-28
252,Amanda Martin,kylegarrison@rodriguez.com,IT,Data Scientist,70390.94,2024-04-10
253,Nathan Stout,pflowers@yahoo.com,HR,Training Specialist,99881.04,2020-10-09
254,Theresa Good,monicawagner@stuart.com,HR,Training Specialist,91193.22,2019-06-25
255,Amy Burnett,snowderek@rodriguez-hernandez.com,Operations,Operations Manager,96240.49,2015-10-26
256,Oscar Wheeler,paulstone@yahoo.com,HR,HR Manager,114709.4,2017-07-09
257,Amy Livingston,luke79@pace.com,HR,Training Specialist,58838.44,2020-07-29
258,Elizabeth Watson,sonia07@martinez.com,Operations,Procurement Specialist,111489.4,2020-08-26
259,Frank Smith,dunlapkylie@hotmail.com,HR,Training Specialist,110670.56,2015-03-29
260,Noah Gonzales,tiffanyhoffman@yahoo.com,Operations,Procurement Specialist,67452.65,2019-12-12
261,Lisa Smith,phaas@wilson-taylor.org,Sales,Account Manager,42696.46,2015-04-27
262,Jeffrey Meyer,mitchelljennifer@gmail.com,Marketing,Marketing Manager,47141.43,2023-03-07
263,Tammy Campbell,garciaelizabeth@reed.biz,Marketing,SEO Specialist,100270.58,2023-09-30
264,Tonya Heath,normanphillip@gmail.com,IT,Data Scientist,100241.46,2018-04-20
265,Alicia Martin,mcleanjessica@ellis.com,Operations,Logistics Coordinator,46857.05,2023-12-16
266,Thomas Zuniga,fmatthews@hotmail.com,HR,Recruiter,92424.29,2022-07-14
267,Jennifer Romero,bendergabriel@yahoo.com,Sales,Sales Executive,113937.49,2016-01-12
268,Matthew Snyder,fpalmer@yahoo.com,IT,Data Scientist,49267.3,2016-08-21
269,Amanda Baker,bullockjoseph@anderson-tate.com,IT,Data Scientist,102110.66,2023-08-26
270,Joy Kennedy,patriciasmith@yahoo.com,Marketing,SEO Specialist,77506.68,2016-11-05
271,Haley Cantrell,jduncan@yahoo.com,Marketing,Content Strategist,85403.3,2024-10-27
272,Mrs. Kathleen Williams,ryan32@henry.com,Marketing,SEO Specialist,44855.71,2017-04-12
273,Ryan Rodriguez,hollyalvarez@lewis.com,Sales,Account Manager,75737.31,2020-06-07
274,Jonathan Marsh,beckymaynard@mercado.biz,Finance,Financial Analyst,107932.87,2022-08-19
275,Nancy Wright,rojasvickie@murray.com,Operations,Operations Manager,59785.6,2018-01-12
276,Janet Ortiz,jennifer65@rice.biz,Operations,Logistics Coordinator,70225.04,2021-08-29
277,Kevin Nguyen,phillipalexander@yahoo.com,Sales,Business Development,98074.1,2015-06-12
278,Angel Bennett,woodkrista@yang.org,IT,Data Scientist,54738.29,2015-05-11
279,Mason Mason,ricejimmy@franco.com,Sales,Sales Executive,101390.92,2016-12-01
280,Ryan Bowers,rodrigueztodd@gmail.com,Finance,Financial Analyst,86857.06,2015-07-25
281,Justin George,stonechristopher@gmail.com,IT,DevOps Engineer,70688.11,2017-12-24
282,Amanda Schmidt,watsonamy@yahoo.com,Marketing,Marketing Manager,111653.91,2019-09-05
283,James Gibson,davissusan@gmail.com,Operations,Operations Manager,97339.04,2021-03-08
284,Yvonne Reynolds,kruegerjoseph@hebert-graham.com,Marketing,SEO Specialist,71478.76,2020-02-05
285,Charles Mason,martinwilliam@yahoo.com,Marketing,Content Strategist,41758.67,2020-03-07
286,Michael Paul,ochapman@jarvis.com,Operations,Logistics Coordinator,81925.06,2017-05-30
287,Angela Newton,steelemichael@davis-cooper.com,Finance,Accountant,99158.52,2017-02-28
288,Hector Morgan,yadams@martin.com,HR,Training Specialist,98442.47,2017-04-03
289,Amy Mendez,adam76@yahoo.com,HR,Training Specialist,48682.3,2018-10-30
290,Sean Brown,shellysullivan@yahoo.com,HR,HR Manager,48546.71,2024-05-11
291,Jennifer Dominguez,littlebriana@gmail.com,Operations,Procurement Specialist,49337.84,2017-04-12
292,Susan Thompson,dawnstone@shelton-sandoval.biz,HR,HR Manager,114786.17,2019-07-14
293,Wesley Castro,knightanna@hotmail.com,IT,Data Scientist,56804.55,2019-10-24
294,Tammy Daniel,laurenharding@yahoo.com,Operations,Logistics Coordinator,104470.26,2022-02-03
295,Melissa Walters,ymurray@clark.com,HR,HR Manager,115380.48,2022-04-04
296,Jason Galvan,marysims@yahoo.com,Marketing,Content Strategist,59807.39,2021-10-16
297,Jennifer Cardenas,qturner@yahoo.com,HR,Recruiter,104429.49,2023-09-21
298,William Schmitt,kevinwilkins@gmail.com,Sales,Business Development,68430.16,2021-10-08
299,Martha Clark,williamsjane@rush.net,IT,Data Scientist,113980.08,2022-11-27
300,Mary Diaz,ashleyrice@yahoo.com,HR,HR Manager,95362.53,2018-07-19
301,Christine Mendez,nhess@gmail.com,Finance,Auditor,47334.11,2024-08-10
302,Brandon Phillips PhD,jdeleon@arroyo-kidd.biz,HR,Recruiter,90982.75,2022-08-09
